"test_num";"price";"ai_recommendation"
1;0.0;21989400.0
2;0.0;21976500.0
3;0.0;21971000.0
4;0.0;21987300.0
5;0.0;21951200.0
6;0.0;21957400.0
7;0.0;21939600.0
8;0.0;21956200.0
9;0.0;21948000.0
10;0.0;21964900.0
